county,population
albany,305506
allegany,46091
bronx,1418207
broome,190488
cattaraugus,76117
cayuga,76576
chautauqua,126903
chemung,83456
chenango,47207
clinton,80485
columbia,59461
cortland,47581
delaware,44135
dutchess,294218
erie,918702
essex,36885
franklin,50022
fulton,53383
genesee,57280
greene,47188
hamilton,4416
herkimer,61319
jefferson,109834
kings,2559903
lewis,26296
livingston,62914
madison,70941
monroe,741770
montgomery,49221
nassau,1356924
new york,1628706
niagara,209281
oneida,228671
onondaga,460528
ontario,109777
orange,384940
orleans,40352
oswego,117124
otsego,59493
putnam,98320
queens,2253858
rensselaer,158714
richmond,476143
rockland,325789
st. lawrence,107740
saratoga,229863
schenectady,155299
schoharie,30999
schuyler,17807
seneca,34016
steuben,95379
suffolk,1476601
sullivan,75432
tioga,48203
tompkins,102180
ulster,177573
warren,63944
washington,61204
wayne,89918
westchester,967506
wyoming,39859
yates,24913
